Chr	start	end	gene	depth	R-190115-979857-BLD-101100_BC_E19011812-32-DNA_F1901184313-27_L190118-00002-H6_20190121-C8_panel12_plus_P190121536-1_sample20190121-B3-A00168-log2_ND
chr4	25688372	25688503	SLC34A2_fus	1203	0.18372958
chr4	25759122	25759199	SEL1L3	157	-1.6169895
chr4	39321985	39322046	MIR1273H	1790	2.4958634
chr4	47901080	47901152	NFXL1	710	0.23716246
chr4	47901170	47901235	NFXL1	580	0.93620929
chr4	55124886	55125029	PDGFRA	6504	2.3347304
chr4	55127231	55127622	PDGFRA	4435	0.33056095
chr4	55129811	55130115	PDGFRA	2891	0.14393314
chr4	55131056	55131233	PDGFRA	2347	0.76658716
chr4	55133431	55133644	PDGFRA	2286	0.31868187
chr4	55133696	55133937	PDGFRA	3338	0.76425926
chr4	55136766	55136953	PDGFRA	1487	0.34177139
chr4	55138526	55138713	PDGFRA	2901	0.80314944
chr4	55139671	55139926	PDGFRA	2941	0.37045082
chr4	55140661	55140810	PDGFRA	2730	1.0291094
chr4	55140976	55141165	PDGFRA	2295	0.48462885
chr4	55143521	55143671	PDGFRA	3979	1.5732716
chr4	55144041	55144214	PDGFRA	975	-0.5908969
chr4	55144496	55144724	PDGFRA	4950	1.37168
chr4	55146461	55146575	PDGFRA	1053	0.6194502
chr4	55146576	55146680	PDGFRA	818	0.24877276
chr4	55147716	55148180	PDGFRA	3566	-0.069951666
chr4	55151506	55151679	PDGFRA	1844	0.54551391
chr4	55151986	55152174	PDGFRA	2450	0.5753998
chr4	55153571	55153751	PDGFRA	2221	0.48002964
chr4	55154941	55155077	PDGFRA	2358	0.99812955
chr4	55155151	55155322	PDGFRA	2388	0.71071498
chr4	55156456	55156732	PDGFRA	2261	-0.041086767
chr4	55161256	55161469	PDGFRA	2051	0.14078106
chr4	55524131	55524282	KIT	1461	0.50118818
chr4	55561646	55561972	KIT	3590	0.2949443
chr4	55564416	55564773	KIT	4085	0.31718094
chr4	55565771	55565943	KIT	2040	0.58972729
chr4	55569861	55570074	KIT	882	-0.82229828
chr4	55573241	55573478	KIT	1258	-0.22757228
chr4	55575566	55575736	KIT	1152	0.088158539
chr4	55589721	55589901	KIT	2266	0.54600552
chr4	55592001	55592232	KIT	2286	0.39061484
chr4	55593361	55593499	KIT	2152	1.0034291
chr4	55593551	55593724	KIT	1648	0.32657336
chr4	55593961	55594111	KIT	2535	0.9409958
chr4	55594151	55594327	KIT	2551	0.78735955
chr4	55595471	55595693	KIT	2332	0.63749833
chr4	55597456	55597604	KIT	780	-0.69481517
chr4	55598001	55598206	BAT-25	1852	0.15805888
chr4	55598231	55598307	BAT-25	786	0.7948395
chr4	55599211	55599391	KIT	1282	-0.13131283
chr4	55602631	55602806	KIT	2458	0.85878718
chr4	55602856	55602999	KIT	1882	0.52595936
chr4	55603311	55603491	KIT	1224	-0.33590952
chr4	55604566	55604756	KIT	3004	0.94547165
chr4	55946083	55946370	KDR	4624	0.90226824
chr4	55948093	55948226	KDR	1237	0.39869731
chr4	55948678	55948816	KDR	1384	0.44025404
chr4	55953748	55953960	KDR	1539	-0.18954031
chr4	55955013	55955154	KDR	1269	-0.019660383
chr4	55955513	55955660	KDR	1840	0.69696338
chr4	55955833	55955998	KDR	1276	-0.028339746
chr4	55956093	55956272	KDR	1785	0.35030758
chr4	55958748	55958899	KDR	1534	0.21803896
chr4	55960933	55961141	KDR	1603	-0.14460928
chr4	55961713	55961862	KDR	1416	0.11591045
chr4	55962373	55962551	KDR	1002	-0.66200786
chr4	55963803	55963949	KDR	1157	-0.11514127
chr4	55964278	55964453	KDR	1327	-0.17914642
chr4	55964833	55965007	KDR	1160	-0.31296991
chr4	55968038	55968218	KDR	1507	-0.10353151
chr4	55968493	55968715	KDR	2909	0.6335513
chr4	55970783	55971179	KDR	3397	-0.032900288
chr4	55971973	55972140	KDR	1789	0.30984814
chr4	55972818	55973003	KDR	1191	0.077954907
chr4	55973873	55974081	KDR	2516	0.46273706
chr4	55976548	55976757	KDR	2964	0.90355252
chr4	55976798	55976934	KDR	1747	0.59536973
chr4	55979443	55979688	KDR	2061	0.056768374
chr4	55980258	55980441	KDR	1369	-0.017710545
chr4	55981018	55981220	KDR	971	-0.59447137
chr4	55981413	55981594	KDR	768	-0.81496675
chr4	55984748	55984993	KDR	2915	0.42771153
chr4	55987238	55987373	KDR	635	-0.31721485
chr4	55991348	55991496	KDR	1575	0.61117138
chr4	66189808	66189948	EPHA5	1142	-0.13741739
chr4	66196253	66197860	EPHA5	9426	0.30745001
chr4	66201623	66201869	EPHA5	2131	-0.026451727
chr4	66213743	66213950	EPHA5	1889	0.28356077
chr4	66217078	66217332	EPHA5	2014	-0.09459913
chr4	66218718	66218859	EPHA5	965	0.18010169
chr4	66230713	66230948	EPHA5	2976	0.949202
chr4	66231628	66231798	EPHA5	1062	-0.20994765
chr4	66233048	66233199	EPHA5	1507	0.42281765
chr4	66242663	66242819	EPHA5	814	-0.74638977
chr4	66270063	66270215	EPHA5	1320	-0.055562513
chr4	66279978	66280189	EPHA5	1864	0.20352167
chr4	66286128	66286310	EPHA5	1681	0.47296937
chr4	66356063	66356445	EPHA5	3671	0.11558362
chr4	66361073	66361298	EPHA5	2384	0.24835877
chr4	66467333	66468032	EPHA5	7476	0.33308419
chr4	66509033	66509175	EPHA5	686	-0.51066768
chr4	66535098	66535247	EPHA5	1137	-0.045551751
chr4	66535258	66535492	EPHA5	1375	-0.19559743
chr4	73930807	73930875	COX18	182	-0.77453194
chr4	74606198	74607488	IL8	8649	0.09427905
chr4	74607518	74607757	IL8	2143	0.58767312
chr4	74607773	74607869	IL8	1356	1.8284732
chr4	74607873	74608147	IL8	2535	0.80368915
chr4	74608163	74608416	IL8	1978	0.58914048
chr4	74608418	74608829	IL8	3558	0.51477425
chr4	74608848	74609011	IL8	946	0.59379748
chr4	74609058	74609440	IL8	4309	1.5097265
chr4	77669887	77669962	SHROOM3	424	-0.58702812
chr4	77669982	77670059	SHROOM3	402	-0.75973697
chr4	79205302	79205383	FRAS1	564	-0.26516933
chr4	79205397	79205465	FRAS1	878	1.1376808
chr4	84519822	84519895	AGPAT9	292	-1.1355434
chr4	106155074	106159270	TET2	26516	1.1796828
chr4	106159304	106159450	TET2	1112	-0.052996332
chr4	106159539	106159621	TET2	354	-0.94096232
chr4	106159659	106159869	TET2	663	-1.2441578
chr4	106159914	106160057	TET2	534	-1.0081148
chr4	106160064	106160203	TET2	357	-1.5566221
chr4	106160274	106160374	TET2	477	0.21546919
chr4	106160464	106160569	TET2	299	-1.3178637
chr4	106160594	106160691	TET2	209	-1.7143885
chr4	106161084	106161248	TET2	832	-0.68829934
chr4	106161344	106162378	TET2	8384	0.48650244
chr4	106162379	106163105	TET2	5500	-0.024190218
chr4	106163109	106163424	TET2	2638	0.32850707
chr4	106163449	106163947	TET2	4859	0.88135673
chr4	106163964	106164099	TET2	1849	0.84694594
chr4	106164699	106164950	TET2	3215	0.64227148
chr4	106180744	106180954	TET2	2872	0.73200992
chr4	106182889	106183028	TET2	428	-0.91775879
chr4	106190734	106190926	TET2	1313	-0.31415217
chr4	106193694	106194110	TET2	3277	-0.12178297
chr4	106196169	106196286	TET2	1281	0.5395791
chr4	106196294	106197699	TET2	10264	-0.22398069
chr4	142949903	142950511	INPP4B	5352	0.72519531
chr4	142950513	142951489	INPP4B	6050	-0.0077182266
chr4	143003158	143003361	INPP4B	1633	0.16254491
chr4	143007263	143007436	INPP4B	1919	0.93541703
chr4	143029218	143029355	INPP4B	737	-0.15706987
chr4	143033663	143033850	INPP4B	1634	0.16001215
chr4	143043253	143043428	INPP4B	1311	-0.016595863
chr4	143044423	143044593	INPP4B	908	-0.41136085
chr4	143045708	143045922	INPP4B	1553	-0.25512443
chr4	143066968	143067180	INPP4B	2587	0.63107295
chr4	143081478	143081731	INPP4B	2271	0.0061600698
chr4	143094763	143094971	INPP4B	2549	0.7361266
chr4	143114213	143114395	INPP4B	2411	0.7473116
chr4	143123833	143123936	INPP4B	724	0.98707554
chr4	143129553	143129698	INPP4B	1398	0.51138039
chr4	143130018	143130198	INPP4B	1852	0.39519167
chr4	143158988	143159169	INPP4B	695	-0.65832621
chr4	143181608	143181737	INPP4B	559	-0.38872054
chr4	143191783	143191960	INPP4B	2714	0.84493324
chr4	143226578	143226712	INPP4B	715	-0.50747248
chr4	143226823	143227136	INPP4B	1852	0.14634032
chr4	143235808	143235954	INPP4B	1761	0.58193435
chr4	143324068	143324239	INPP4B	1071	-0.3124387
chr4	143326323	143326507	INPP4B	1423	-0.17087268
chr4	143350273	143350404	INPP4B	345	-0.49156748
chr4	143352283	143352428	INPP4B	2574	0.97187732
chr4	153244195	153244332	FBXW7	1409	0.48089622
chr4	153245305	153245588	FBXW7	2590	0.32380105
chr4	153247135	153247409	FBXW7	1703	-0.3889415
chr4	153249330	153249573	FBXW7	1806	-0.02269461
chr4	153250800	153250980	FBXW7	1159	0.057851245
chr4	153251855	153252029	FBXW7	2997	1.1873335
chr4	153253725	153253899	FBXW7	1261	-0.10924884
chr4	153258920	153259106	FBXW7	2051	0.70876383
chr4	153268055	153268230	FBXW7	2419	0.71160811
chr4	153269790	153269978	FBXW7	897	0.15807898
chr4	153271155	153271293	FBXW7	651	-0.17438106
chr4	153273590	153274132	FBXW7	3996	-0.24251857
chr4	153303315	153303562	FBXW7	2966	0.66010888
chr4	153303570	153303667	FBXW7	1471	1.1553307
chr4	153332280	153332611	FBXW7	3728	0.99409494
chr4	153332615	153333032	FBXW7	7679	1.0007339
chr4	169923282	169923353	CBR4	377	-0.70352161
chr4	169923377	169923439	CBR4	376	0.3134654
chr4	176733368	176733462	GPM6A	445	-0.38342908
chr4	187083889	187083966	FAM149A	1459	1.0643151
chr4	187083979	187084059	FAM149A	909	0.90047671
chr4	187509714	187510390	FAT1	7273	0.37532151
chr4	187511459	187511574	FAT1	785	-0.28653696
chr4	187516809	187516996	FAT1	1112	-0.60176044
chr4	187517664	187518370	FAT1	7489	0.21763736
chr4	187518814	187518987	FAT1	1185	-0.18738576
chr4	187519104	187519305	FAT1	670	-1.2369433
chr4	187521019	187521556	FAT1	4780	-0.014474454
chr4	187522394	187522607	FAT1	1986	0.25224496
chr4	187524024	187524210	FAT1	1302	-0.35035179
chr4	187524304	187525142	FAT1	8994	0.28928393
chr4	187525509	187525753	FAT1	1674	-0.23171066
chr4	187527199	187527406	FAT1	2093	0.238751
chr4	187530309	187530493	FAT1	2654	0.76236613
chr4	187530924	187531211	FAT1	1639	-0.5302505
chr4	187532509	187532582	FAT1	1100	0.89339706
chr4	187532609	187532958	FAT1	2332	-0.25730275
chr4	187534239	187534511	FAT1	2777	0.25212479
chr4	187535319	187535523	FAT1	1398	-0.069269809
chr4	187538129	187538377	FAT1	2570	0.4035865
chr4	187538839	187542961	FAT1	38328	1.6761099
chr4	187549279	187549525	FAT1	2902	0.42167393
chr4	187549609	187549944	FAT1	3409	0.31792482
chr4	187554814	187554982	FAT1	2490	0.76593378
chr4	187557154	187557426	FAT1	2114	-0.070798021
chr4	187557714	187558088	FAT1	8122	1.4147874
chr4	187560834	187560972	FAT1	991	0.42199867
chr4	187584424	187584780	FAT1	2504	-0.1870959
chr4	187627684	187631024	FAT1	31120	1.2707153
chr5	218430	218538	SDHA	339	-0.97036014
chr5	223560	223698	SDHA	1849	0.64845467
chr5	224530	224608	SDHA	628	-0.23621529
chr5	225500	225714	SDHA	2710	0.77955506
chr5	225975	226186	SDHA	1662	-0.14209168
chr5	228285	228474	SDHA	1305	-0.26525852
chr5	230965	231141	SDHA	2381	0.89917777
chr5	233565	233778	SDHA	2278	0.31177525
chr5	235225	235475	SDHA	4184	1.0982734
chr5	236590	236723	SDHA	946	0.096780566
chr5	240440	240639	SDHA	1296	-0.25695761
chr5	251085	251256	SDHA	1414	-0.056050469
chr5	251430	251889	SDHA	5298	0.42127886
chr5	254475	254658	SDHA	1289	-0.2427808
chr5	256415	256561	SDHA	1641	0.30334309
chr5	1253852	1253968	TERT	674	-0.13755306
chr5	1254457	1254626	TERT	702	-0.58539542
chr5	1255377	1255560	TERT	1048	-0.48643442
chr5	1258672	1258809	TERT	805	-0.39736958
chr5	1260557	1260740	TERT	1038	-0.44542119
chr5	1264487	1264736	TERT	1456	-0.22027658
chr5	1266537	1266676	TERT	634	-0.81535169
chr5	1268612	1268781	TERT	593	-0.91760857
chr5	1271262	1271369	TERT	251	-1.5815157
chr5	1272262	1272412	TERT	687	-0.56831352
chr5	1278722	1278951	TERT	1955	0.29344225
chr5	1279382	1279625	TERT	790	-0.97745666
chr5	1280237	1280497	TERT	1454	-0.47488475
chr5	1282522	1282772	TERT	1165	-0.86739623
chr5	1293402	1294815	TERT	9620	0.084603137
chr5	1294862	1295148	TERT	867	-1.138173
chr5	1295162	1295299	TERT	237	-1.9834995
chr5	7891325	7891399	MTRR	356	0.21211911
chr5	7891415	7891477	MTRR	414	0.45182505
chr5	16762148	16762223	MYO10	138	-2.0931174
chr5	31405793	31405868	DROSHA	313	-0.56508849
chr5	31405888	31405959	DROSHA	349	0.029767025
chr5	35857038	35857191	IL7R	2064	0.82143348
chr5	35860918	35861109	IL7R	1532	-0.11417132
chr5	35867373	35867580	IL7R	1119	-0.37034964
chr5	35871148	35871346	IL7R	999	-0.45210368
chr5	35873548	35873769	IL7R	1298	-0.43541445
chr5	35874513	35874666	IL7R	2639	1.1587394
chr5	35875578	35875713	IL7R	1070	0.096331263
chr5	35876063	35876617	IL7R	5034	0.019130575
chr5	37157963	37158033	C5orf42	236	-1.346057
chr5	38942368	38942511	RICTOR	646	-0.60716955
chr5	38942913	38943082	RICTOR	667	-0.6951336
chr5	38944518	38944692	RICTOR	1052	-0.00089181267
chr5	38944988	38945162	RICTOR	1216	-0.1561276
chr5	38945558	38945843	RICTOR	1897	-0.18706114
chr5	38946538	38946669	RICTOR	1221	0.43299707
chr5	38947343	38947583	RICTOR	961	-0.74549113
chr5	38949418	38949550	RICTOR	1288	0.49918404
chr5	38949783	38950841	RICTOR	12276	0.6591267
chr5	38952273	38952550	RICTOR	2527	0.2622541
chr5	38953063	38953230	RICTOR	1171	0.17170809
chr5	38953528	38953670	RICTOR	729	-0.26079606
chr5	38954848	38954984	RICTOR	1586	0.90499532
chr5	38955673	38955846	RICTOR	1065	-0.16268637
chr5	38957718	38957852	RICTOR	1122	0.67887887
chr5	38958508	38958645	RICTOR	774	-0.11062051
chr5	38958743	38958950	RICTOR	1223	0.14653478
chr5	38959273	38959435	RICTOR	772	-0.39394196
chr5	38959853	38960098	RICTOR	2085	0.34804152
chr5	38960478	38960644	RICTOR	1104	-0.1808008
chr5	38962358	38962513	RICTOR	753	0.29505963
chr5	38962553	38962702	RICTOR	1112	0.28571212
chr5	38962953	38963156	RICTOR	1926	0.42217063
chr5	38964868	38965009	RICTOR	1262	0.18266891
chr5	38966708	38966849	RICTOR	455	-0.76796573
chr5	38967223	38967359	RICTOR	7218	3.4641307
chr5	38967413	38967548	RICTOR	1448	0.50643874
chr5	38968013	38968149	RICTOR	266	-1.738379
chr5	38971943	38972079	RICTOR	513	-0.61717982
chr5	38975598	38975743	RICTOR	1655	0.29413456
chr5	38978643	38978746	RICTOR	530	-0.010305144
chr5	38981943	38982150	RICTOR	1631	0.11188356
chr5	38991028	38991199	RICTOR	656	-0.95215125
chr5	38996878	38997018	RICTOR	1134	0.40279151
chr5	39002613	39002783	RICTOR	1477	0.26814118
chr5	39003618	39003752	RICTOR	535	-0.87401384
chr5	39021118	39021258	RICTOR	837	-0.035736899
chr5	39074163	39074300	RICTOR	946	0.0880543
chr5	39074383	39074516	RICTOR	962	0.17970602
chr5	56111373	56111905	MAP3K1	3469	-0.10607083
chr5	56112838	56112979	MAP3K1	2537	1.1894897
chr5	56116193	56116680	MAP3K1	5276	0.81051309
chr5	56152403	56152608	MAP3K1	1297	-0.44032718
chr5	56155518	56155756	MAP3K1	1582	-0.33906819
chr5	56160528	56160784	MAP3K1	2759	0.31699302
chr5	56161143	56161304	MAP3K1	1521	0.62830285
chr5	56161633	56161834	MAP3K1	1176	-0.11216544
chr5	56167713	56167894	MAP3K1	1804	0.30071365
chr5	56168433	56168579	MAP3K1	1476	0.92907977
chr5	56168628	56168866	MAP3K1	2893	0.67772967
chr5	56170828	56171157	MAP3K1	4150	0.4749842
chr5	56174783	56174958	MAP3K1	1227	-0.11176692
chr5	56176503	56176643	MAP3K1	1498	0.44995993
chr5	56176888	56177134	MAP3K1	4094	1.4851781
chr5	56177368	56177862	MAP3K1	5220	0.3416627
chr5	56177873	56178722	MAP3K1	5483	-0.29665771
chr5	56179328	56179535	MAP3K1	1414	-0.094091103
chr5	56180468	56180676	MAP3K1	623	-1.1685402
chr5	56181733	56181903	MAP3K1	1643	0.47887074
chr5	56183183	56183354	MAP3K1	1407	-0.098659174
chr5	56184028	56184200	MAP3K1	1527	0.4150702
chr5	56189333	56189551	MAP3K1	1893	0.061678044
chr5	64629750	64629819	ADAMTS6	135	-1.2890805
chr5	67522471	67522862	PIK3R1	2512	-0.47663767
chr5	67569181	67569336	PIK3R1	2482	0.90211271
chr5	67569721	67569878	PIK3R1	2001	0.61235417
chr5	67575406	67575571	PIK3R1	1819	0.55287523
chr5	67576346	67576588	PIK3R1	1514	-0.23150115
chr5	67576711	67576869	PIK3R1	1008	0.25972361
chr5	67584226	67584508	PIK3R1	2560	0.48141765
chr5	67584516	67584613	PIK3R1	1105	0.8754478
chr5	67586431	67586692	PIK3R1	2496	0.37158312
chr5	67588051	67588198	PIK3R1	1610	0.45246626
chr5	67588371	67588578	PIK3R1	1545	-0.0091235913
chr5	67588901	67589039	PIK3R1	1244	0.24436838
chr5	67589106	67589342	PIK3R1	1371	0.25539312
chr5	67589501	67589688	PIK3R1	825	0.091404958
chr5	67590341	67590541	PIK3R1	898	-0.28368881
chr5	67590951	67591195	PIK3R1	2077	0.3948791
chr5	67591206	67591345	PIK3R1	1920	0.86221153
chr5	67591966	67592193	PIK3R1	2192	0.11913956
chr5	67593216	67593465	PIK3R1	2084	-0.084885156
chr5	68548246	68548321	CDK7	248	-0.75429611
chr5	72800017	72800092	BTF3	224	-0.83060044
chr5	72800107	72800172	BTF3	204	-0.57127446
chr5	72853162	72853224	ANKRA2	1500	1.6577197
chr5	72853252	72853320	ANKRA2	1377	1.7898193
chr5	79921959	79922090	rs1650723	993	0.47241084
chr5	79950434	79950818	MSH3	1979	-0.40684739
chr5	79951414	79951559	rs442767	1521	0.19292756
chr5	79952204	79952370	MSH3	1720	0.4571279
chr5	79960934	79961215	MSH3	2078	0.032865383
chr5	79965894	79966138	MSH3	2012	0.19677855
chr5	79968039	79968209	MSH3	1302	0.086037173
chr5	79968534	79968697	MSH3	1515	0.34161153
chr5	79970779	79970977	MSH3	1098	0.11039796
chr5	79974724	79974945	MSH3	2235	0.2043684
chr5	80021249	80021422	MSH3	1251	0.19179821
chr5	80024644	80024809	MSH3	1451	0.61986923
chr5	80037244	80037393	MSH3	877	0.14188422
chr5	80040299	80040456	MSH3	1205	0.089292012
chr5	80057334	80057515	MSH3	1502	0.1440235
chr5	80063729	80063968	MSH3	1370	-0.20409896
chr5	80064629	80064834	MSH3	1414	0.38866978
chr5	80071474	80071599	MSH3	931	1.073365
chr5	80074509	80074688	MSH3	1682	0.28034242
chr5	80083359	80083527	MSH3	1698	0.39674043
chr5	80088519	80088699	MSH3	1109	0.18137922
chr5	80109379	80109592	MSH3	1443	-0.15720784
chr5	80149924	80150166	MSH3	1117	-0.70363672
chr5	80160609	80160792	MSH3	1413	0.0034172657
chr5	80168899	80169127	MSH3	2036	0.21763844
chr5	80171544	80171713	MSH3	653	-0.725901
chr5	96100950	96101026	CAST,ERAP1	242	-1.444017
chr5	98216886	98216961	CHD1	679	1.0094621
chr5	98216971	98217036	CHD1	731	0.35125894
chr5	112043386	112043602	APC	4727	1.7499633
chr5	112073516	112073657	APC	1691	0.79045288
chr5	112074001	112074185	APC	2578	0.67484572
chr5	112090546	112090833	APC	1676	-0.010061974
chr5	112101991	112102125	APC	732	0.35636763
chr5	112102861	112103095	APC	1881	0.084462616
chr5	112111316	112111449	APC	387	-0.83920035
chr5	112116461	112116632	APC	1152	0.05632822
chr5	112128111	112128242	APC	869	0.085527061
chr5	112136946	112137089	APC	617	-0.99442435
chr5	112151161	112151304	APC	858	-0.42225269
chr5	112154641	112155056	APC	3275	-0.15574837
chr5	112157556	112157705	APC	1540	0.73115088
chr5	112162781	112162951	APC	1414	0.17782096
chr5	112163591	112163726	APC	1124	0.22573
chr5	112164531	112164696	APC	1191	0.3510161
chr5	112170626	112170901	APC	2096	0.067918379
chr5	112173226	112179131	APC	35918	1.6515426
chr5	112179136	112179832	APC	4517	-0.31106746
chr5	115148760	115148830	CDO1	287	-0.17523136
chr5	122722286	122722362	CEP120	274	-1.1088663
chr5	122722386	122722457	CEP120	197	-0.623812
chr5	131892992	131893153	RAD50	1566	0.14527221
chr5	131894932	131895074	RAD50	649	-0.37868197
chr5	131911447	131911648	RAD50	1416	0.24164249
chr5	131914987	131915227	RAD50	1834	0.15020112
chr5	131915532	131915770	RAD50	988	-0.41134796
chr5	131923232	131923397	RAD50	1044	0.42950759
chr5	131923592	131923794	RAD50	1178	-0.11700626
chr5	131924372	131924606	RAD50	1565	-0.13382786
chr5	131925297	131925541	RAD50	711	-1.0396956
chr5	131926887	131927134	RAD50	1220	-0.45106117
chr5	131927547	131927762	RAD50	649	-0.84364168
chr5	131930532	131930739	RAD50	1217	0.05911845
chr5	131931242	131931453	RAD50	1455	-0.15874155
chr5	131931457	131931531	RAD50	818	0.25968057
chr5	131938967	131939205	RAD50	1196	-0.27407131
chr5	131939587	131939756	RAD50	384	-1.4726145
chr5	131940472	131940714	RAD50	1144	-0.39195904
chr5	131944297	131944425	RAD50	224	-1.1966651
chr5	131944777	131944914	RAD50	624	0.18494238
chr5	131944942	131945130	RAD50	955	0.18577436
chr5	131951667	131951835	RAD50	776	0.14012584
chr5	131953727	131954010	RAD50	1271	-0.22112242
chr5	131972772	131972922	RAD50	651	-0.60734564
chr5	131973742	131973954	RAD50	1189	-0.55642165
chr5	131976342	131976522	RAD50	2493	0.62923392
chr5	131977847	131978091	RAD50	1749	0.095033476
chr5	132428422	132428502	HSPA4	168	-2.1647389
chr5	132437532	132437599	HSPA4	440	0.49903313
chr5	133642363	133642431	CDKL3	471	0.56292854
chr5	139496328	139496397	PURA	489	0.67312029
chr5	139496418	139496492	PURA	582	-0.0083025677
chr5	140907183	140907260	DIAPH1	574	0
chr5	145649222	145649288	RBM27	145	-1.5408536
chr5	149433608	149433830	CSF1R	1722	0.01209446
chr5	149433863	149434042	CSF1R	1369	0.1667437
chr5	149434778	149434924	CSF1R	2255	0.78848749
chr5	149435563	149435732	CSF1R	1550	0.26398353
chr5	149435758	149435931	CSF1R	1503	0.13276539
chr5	149436823	149436955	CSF1R	1400	0.62966545
chr5	149437028	149437176	CSF1R	1215	-0.014246122
chr5	149439238	149439447	CSF1R	1988	0.31294015
chr5	149440403	149440576	CSF1R	1095	-0.22963714
chr5	149441028	149441164	CSF1R	711	-0.51875062
chr5	149441253	149441437	CSF1R	2459	0.70444665
chr5	149447813	149447923	CSF1R	441	-0.87516164
chr5	149449408	149449665	CSF1R	2454	0.31476922
chr5	149449768	149449902	CSF1R	1097	0.12262596
chr5	149449993	149450167	CSF1R	1444	0.28686046
chr5	149452828	149453098	CSF1R	3283	0.61209343
chr5	149456803	149457020	CSF1R	2517	0.43402364
chr5	149457653	149457830	CSF1R	1357	-0.021800226
chr5	149459593	149459936	CSF1R	2932	0.26670129
chr5	149460303	149460627	CSF1R	3822	0.62643914
chr5	149465888	149466038	CSF1R	841	-0.29076394
chr5	149495298	149495544	PDGFRB	1533	-0.10599079
chr5	149497148	149497442	PDGFRB	1702	-0.26607603
chr5	149498288	149498434	PDGFRB	690	-0.86260157
chr5	149499008	149499153	PDGFRB	898	-0.39084447
chr5	149499553	149499723	PDGFRB	1104	-0.27515631
chr5	149500428	149500605	PDGFRB	1468	0.089605581
chr5	149500738	149500927	PDGFRB	3012	0.99657583
chr5	149501418	149501626	PDGFRB	1652	-0.068536352
chr5	149502573	149502798	PDGFRB	3471	1.1289468
chr5	149503788	149503961	PDGFRB	2018	0.77354631
chr5	149504258	149504418	PDGFRB	969	-0.33101281
chr5	149504978	149505164	PDGFRB	1111	-0.39204509
chr5	149506048	149506210	PDGFRB	2407	0.94950219
chr5	149509298	149509550	PDGFRB	2703	0.66532756
chr5	149510068	149510259	PDGFRB	1280	-0.028949533
chr5	149511518	149511698	PDGFRB	904	-0.60956404
chr5	149512288	149512531	PDGFRB	2236	0.45744144
chr5	149513123	149513337	PDGFRB	1788	0.084791912
chr5	149513413	149513595	PDGFRB	1261	-0.22217288
chr5	149514278	149514609	PDGFRB	5100	0.76234215
chr5	149515083	149515477	PDGFRB	3770	0.26870101
chr5	149516513	149516657	PDGFRB	941	-0.10691874
chr5	149782743	149783144	CD74_fus	4740	0.38904523
chr5	149783433	149783538	CD74_fus	936	0.37092518
chr5	149783548	149784366	CD74_fus	5642	-0.24042302
chr5	154251132	154251200	CNOT8	170	-0.84420537
chr5	170221299	170221370	GABRP	724	0.16663075
chr5	170221394	170221471	GABRP	668	-0.067702119
chr5	170814984	170815055	NPM1	108	-2.275533
chr5	170817014	170817082	NPM1	1429	1.6735331
chr5	170817109	170817175	NPM1	1074	1.4857455
chr5	170818274	170818343	NPM1	576	-0.0025763487
chr5	170818674	170818742	NPM1	808	0.43430328
chr5	170819784	170819855	NPM1	888	0.40939867
chr5	170819949	170820030	NPM1	476	0
chr5	170827189	170827262	NPM1	570	0.22861061
chr5	170827804	170827881	NPM1	624	0.038576981
chr5	170832274	170832340	NPM1	319	-0.40462727
chr5	170833369	170833618	NPM1	2271	0.16288727
chr5	170833624	170833698	NPM1	1392	1.2606839
chr5	170834659	170834729	NPM1	1282	1.1509977
chr5	170834749	170834819	NPM1	1204	1.0349668
chr5	170837564	170837627	NPM1	115	-1.3961719
chr5	175512149	175512222	FAM153B	237	-0.62282315
chr5	176514544	176514674	FGFR4	655	-0.27975276
chr5	176516529	176516733	FGFR4	2011	0.50570515
chr5	176517364	176517690	FGFR4	2562	0.19073734
chr5	176517709	176517849	FGFR4	1472	0.35248199
chr5	176517904	176518127	FGFR4	2333	0.49572241
chr5	176518664	176518838	FGFR4	777	-0.59349301
chr5	176519289	176519539	FGFR4	2247	0.38917811
chr5	176519624	176519800	FGFR4	2466	1.0258715
chr5	176520114	176520286	FGFR4	1226	0.14963541
chr5	176520299	176520575	FGFR4	1768	-0.023662678
chr5	176520629	176520803	FGFR4	1204	0.02917415
chr5	176522299	176522478	FGFR4	1815	0.55128906
chr5	176522504	176522750	FGFR4	2569	0.66212968
chr5	176523034	176523208	FGFR4	1434	0.092824266
chr5	176523249	176523387	FGFR4	1708	0.88250256
chr5	176523574	176523753	FGFR4	1719	0.49640422
chr5	176524269	176524407	FGFR4	930	0.074102394
chr5	176524504	176524719	FGFR4	2258	0.61501204
chr5	176562074	176563055	NSD1	4836	-0.67277521
chr5	176618859	176619028	NSD1	870	-0.56500273
chr5	176631099	176631299	NSD1	1456	-0.18757726
chr5	176636614	176639229	NSD1	14274	0.28240544
chr5	176662799	176662968	NSD1	954	-0.37199044
chr5	176665224	176665541	NSD1	2256	-0.28249523
chr5	176666734	176666894	NSD1	691	-0.40239383
chr5	176671159	176671293	NSD1	1167	0.49746438
chr5	176673654	176673830	NSD1	878	-0.63963268
chr5	176674914	176675125	NSD1	1068	-0.78349899
chr5	176675159	176675370	NSD1	2410	0.36929006
chr5	176678699	176678886	NSD1	1606	0.12375235
chr5	176683929	176684176	NSD1	2017	-0.057084796
